year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
2007,12,5996663048,2998331524,2998331524,0,0,0
2008,1,9861805140,4930902570,4930902570,0,0,0
2008,2,9636787526,4818393763,4818393763,0,0,0
2008,3,9910811618,4955405809,4955405809,0,0,0
2008,4,10318324366,5159162183,5159162183,0,0,0
2008,5,11169382184,5584691092,5584691092,0,0,0
2008,6,11424208558,5712104279,5712104279,0,0,0
2008,7,10612605748,5306302874,5306302874,0,0,0
2008,8,10280311038,5140155519,5140155519,0,0,0
2008,9,10959067646,5479533823,5479533823,0,0,0
2008,10,11358881564,5679440782,5679440782,0,0,0
2008,11,10831664142,5415832071,5415832071,0,0,0
2008,12,10423416902,5211708451,5211708451,0,0,0
2009,1,11605363102,5802681551,5802681551,0,0,0
2009,2,11094641720,5547320860,5547320860,0,0,0
2009,3,12590318114,6295159057,6295159057,0,0,0
2009,4,11977634642,5988817321,5988817321,0,0,0
2009,5,12535033466,6267516733,6267516733,0,0,0
2009,6,11637848364,5818924182,5818924182,0,0,0
2009,7,11603293956,5801646978,5801646978,0,0,0
2009,8,11581700768,5790850384,5790850384,0,0,0
2009,9,8115031536,4057515768,4057515768,0,0,0
2009,10,12032214294,6016107147,6016107147,0,0,0
2009,11,11536973820,5768486910,5768486910,0,0,0
2009,12,10853011954,5426505977,5426505977,0,0,0
2010,1,11406930570,5703465285,5703465285,0,0,0
2010,2,11524902836,5762451418,5762451418,0,0,0
2010,3,13322695892,6661347946,6661347946,0,0,0
2010,4,13237104304,6618552152,6618552152,0,0,0
2010,5,12821157550,6410578775,6410578775,0,0,0
2010,6,9796070028,4898035014,4898035014,0,0,0
2010,7,10592355276,5296177638,5296177638,0,0,0
2010,8,14762693320,7381346660,7381346660,0,0,0
2010,9,15092977488,7546488744,7546488744,0,0,0
2010,10,20345689124,10172844562,10172844562,0,0,0
2010,11,13897356708,6948678354,6948678354,0,0,0
2010,12,14003904200,7001952100,7001952100,0,0,0
2011,1,15137022454,7568511227,7568511227,0,0,0
